medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
3E841B83C3B99F71F38C483C76D39E4F,21D086F9F8A40D99A834C253B05DD6D4,VTS,1,,2013-01-01 00:20:00,2013-01-01 00:20:00,1,0,0.03,0.0,0.0,0.0,0.0
63E1CE031EDB33209F200A44A2A50532,DCD6A3DA3488EF99AAC46FE0EF41449B,VTS,5,,2013-01-01 00:21:00,2013-01-01 00:21:00,1,0,0.0,0.0,0.0,0.0,0.0
B3948FE1C9BAA60429084C3C8C742439,C63F0F41FE26715299FCFE119C066D37,VTS,1,,2013-01-01 01:04:00,2013-01-01 01:24:00,2,1200,2.68,-73.980148,40.742676,-73.984367,40.770008
6FC85A1A4C9E9824D0D1A10532166A81,F83A6C49D423DA3266BB1268FCE4E568,VTS,1,,2013-01-01 02:17:00,2013-01-01 02:25:00,1,480,2.13,0.0,0.0,0.0,0.0
A4142B3536A686E0AF19544F86E1FE08,B063A1EAECC781EA74195C6F27F43C20,VTS,1,,2013-01-01 02:28:00,2013-01-01 02:38:00,1,600,3.0,0.0,0.0,0.0,0.0
1E170F1AC4227B6A930CE041C54FAC55,3178E9041332A4F037E6FDE5C2CB92FA,VTS,1,,2013-01-01 03:02:00,2013-01-01 03:05:00,1,180,0.51,-73.998253,40.754307,-73.996323,40.758247
9E28C3598E3575951F8AD16241E5B874,7568B4EB4A5D30A41F53ED359BF81B7A,VTS,1,,2013-01-01 04:00:00,2013-01-01 04:18:00,1,1080,6.16,-73.96067,40.797329,-73.924156,40.760742
72427BE07CFC31814826BCE9EB92D8D5,BC06BC4CB757E3F09B1F65C055ADC51B,VTS,1,,2013-01-01 06:24:00,2013-01-01 06:29:00,6,300,1.9,0.0,0.0,0.0,0.0
2242A513238185D3AD7704A75EF21FB8,B9D6CB5BB1ECE2FC4010272137D2A336,VTS,1,,2013-01-01 07:14:00,2013-01-01 07:25:00,1,660,3.74,0.0,0.0,0.0,0.0
333D72A3E9C09AD9EFBF79F549EFA67B,ED57BB723A58FFF10DCA8AC08AC1B103,CMT,1,N,2013-01-01 09:19:27,2013-01-01 09:21:52,1,145,0.5,-73.954796,40.59893,-73.950531,40.604225
8EB9CE00A5AD729095BC542FC5FDB5F4,0766C20575FB088022E9B7D889D899A3,VTS,1,,2013-01-01 10:31:00,2013-01-01 10:45:00,1,840,4.67,-73.991516,40.75798,-74.016251,40.706989
54E0A7E84EAFDF6D0C70DC8E8A272FD9,6FB0B9EA44C28EF6E5CEA27955C6B498,VTS,1,,2013-01-01 11:47:00,2013-01-01 11:56:00,6,540,1.83,-73.997284,40.766659,-73.99337,40.752247
55FB6B6C0F0DFCE20E7E48859CAA45AD,A91BC1388E64E71C15CDE316649A2D0E,VTS,1,,2013-01-01 13:47:00,2013-01-01 13:53:00,1,360,1.4,0.0,0.0,0.0,0.0
D80FD255D1921207A256F30136F4DBB2,F7738A2349674017FB20FD422A3CD2E1,VTS,2,,2013-01-01 13:30:00,2013-01-01 13:58:00,1,1680,17.88,-73.789696,40.645226,-73.993439,40.736015
B81DC8EF25CA60D2269F8049DBB1F5A5,33558B467D79E04FE8FCB6CACEC0E237,VTS,1,,2013-01-01 13:55:00,2013-01-01 13:58:00,1,180,1.22,-73.974487,40.746834,-73.984779,40.732513
8E189DABE265CC03FEF4BFC695B32559,906939B31C0B93768242A58A682412B8,CMT,1,N,2013-01-01 14:02:01,2013-01-01 14:27:39,2,1537,10.2,-73.862709,40.769142,-73.982079,40.762295
89D227B655E5C82AECF13C3F540D4CF4,BA96DE419E711691B9445D6A6307C170,CMT,1,N,2013-01-01 15:11:48,2013-01-01 15:18:10,4,382,1.0,-73.978165,40.757977,-73.989838,40.751171
